Adhar Number,First Name,Last Name,Date of Birth,Gender,Phone Number,District
545659301256,Nirvi,Handa,1988-07-16,F,627-9316-719,Thiruvananthapuram
229852212198,Raghav,Deol,1959-09-13,F,753-5337-450,Ernakulam
794148310938,Advika,Bal,1990-01-12,F,831-2230-501,Thiruvananthapuram
612016462459,Jayesh,Sane,1953-09-30,M,675-5579-555,Kollam
354814453417,Rohan,Balakrishnan,1976-07-14,F,896-2295-541,Kottayam
440931996893,Vritika,Bobal,1958-05-15,M,823-8757-695,Ernakulam
248725079598,Himmat,Mall,1965-12-05,F,863-7581-633,Kottayam
355256251466,Anaya,Varty,1981-05-01,M,871-6098-266,Kannur
825371778044,Nakul,Kumar,1967-04-16,F,875-1591-650,Kannur
131292495579,Purab,Dhillon,1988-12-27,M,970-6715-565,Malappuram
510111800580,Ojas,Bahl,1995-12-21,F,749-7572-072,Kottayam
261822911538,Priyansh,Das,1990-05-01,F,713-7491-967,Malappuram
368327519936,Dhanuk,Chana,1966-06-15,M,765-7469-280,Kasaragod
219879705452,Mahika,Vohra,1954-06-27,M,828-1189-585,Thrissur
426785549452,Charvi,Gokhale,1956-12-08,F,752-8628-573,Kasaragod
835456426744,Alia,Grewal,1957-02-25,F,718-5721-372,Kottayam
332242714600,Yashvi,Kar,1956-10-15,F,615-2609-324,Palakkad
755453801226,Stuvan,Agrawal,1974-06-02,F,631-3410-353,Kollam
939209678632,Umang,Dave,1959-10-29,F,670-4017-023,Pathanamthitta
448595133374,Faiyaz,Iyer,1963-10-03,M,742-3720-596,Thrissur
252788497137,Tarini,Bhagat,1996-05-26,M,622-3183-183,Malappuram
432567719385,Sumer,Bali,1986-05-05,M,821-4236-465,Thiruvananthapuram
482586125035,Saksham,Sant,1962-09-28,M,775-4353-698,Pathanamthitta
949646738091,Aarav,Ravel,1970-10-19,F,949-5883-553,Kottayam
739455104043,Seher,Bajaj,1982-03-01,F,886-7040-054,Palakkad
193480755679,Gokul,Savant,1966-09-21,M,998-3376-385,Ernakulam
601743334581,Raunak,Chaudhary,1995-07-26,F,991-7422-024,Wayanad
209701484933,Vedika,Sarin,1968-10-31,F,653-3854-067,Kottayam
351035811512,Mehul,Jani,1993-08-01,M,793-4354-545,Pathanamthitta
604391286681,Samar,Bhagat,1955-09-03,M,966-7344-056,Kasaragod
586339211495,Fateh,Sathe,1989-12-05,F,933-4799-822,Wayanad
930827831645,Ivana,Doctor,1981-04-07,M,956-2404-223,Pathanamthitta
917694377585,Prisha,Goswami,2000-11-01,M,860-2348-476,Ernakulam
508752245112,Ehsaan,Bhagat,1999-09-08,F,828-5570-148,Ernakulam
846140554276,Abram,Gupta,1998-12-21,F,617-8236-869,Kollam
909806035685,Alisha,Andra,1994-06-17,M,853-3106-651,Idukki
482843890694,Dishani,Bhatia,1956-06-29,M,663-9077-835,Malappuram
878284952022,Heer,Deshpande,1983-04-18,M,903-6431-061,Idukki
147430008596,Samiha,Halder,1986-09-05,F,980-0472-654,Palakkad
663308955991,Saanvi,Bhattacharyya,1961-03-23,F,653-2424-438,Kozhikode
888976218317,Saira,Sankar,1978-01-29,F,833-1264-829,Kottayam
753895225497,Arnav,Lal,1993-09-05,M,815-7126-585,Ernakulam
535220502943,Mannat,Sunder,1975-09-24,F,951-1907-719,Wayanad
636509627855,Navya,Sehgal,1963-06-14,F,881-4582-428,Kannur
468130749209,Anahita,Tripathi,1967-10-14,M,766-5404-439,Pathanamthitta
215852545345,Aniruddh,Dar,1992-07-16,F,701-8035-522,Kottayam
506726013964,Tiya,Gupta,1984-02-21,F,941-3448-833,Pathanamthitta
348353537843,Sana,Gole,2000-04-21,M,621-1482-398,Thrissur
893545183884,Rati,Lad,1968-03-09,F,913-8132-166,Alappuzha
730715065289,Elakshi,Kapoor,1979-08-27,M,911-3470-397,Idukki
377730102764,Prerak,Saraf,1953-02-01,M,926-4139-149,Idukki
926375051935,Pranay,Sharaf,1981-10-25,M,753-0475-286,Palakkad
881875319846,Hansh,Dixit,1975-03-18,M,846-3812-402,Thrissur
641994962706,Eva,Buch,1989-12-26,M,754-5463-091,Alappuzha
896444087067,Hrishita,Sani,1988-03-14,M,806-4111-265,Pathanamthitta
804934747009,Jivin,Boase,1974-01-20,F,672-7292-943,Wayanad
731398681762,Divyansh,Dyal,1995-09-05,M,782-8018-382,Thrissur
139350651128,Sara,Mand,1989-06-01,M,917-0423-886,Malappuram
546374752130,Amira,Joshi,1961-11-26,F,735-0448-063,Idukki
845591090183,Samarth,Anand,1960-12-11,M,984-8440-616,Kasaragod
910949907678,Lagan,Batra,1995-07-06,M,744-6563-124,Palakkad
835533814699,Vidur,Agate,1995-02-20,M,946-7972-096,Malappuram
290057012065,Zara,Basu,1976-07-26,M,635-5472-136,Wayanad
763043160680,Nirvaan,Bhalla,2000-06-02,M,962-7508-099,Wayanad
948424765535,Diya,Chauhan,1999-01-23,M,918-0262-814,Kozhikode
786229720024,Hunar,Deshpande,1968-02-07,F,827-5459-456,Thrissur
427788540591,Misha,Korpal,1967-01-21,F,804-7095-896,Kannur
307966222389,Zaina,Baria,1959-08-03,M,666-8605-701,Palakkad
267740791961,Hiran,Raj,1990-01-20,F,985-9876-106,Kannur
318081052436,Nitya,Majumdar,1976-11-30,M,739-3954-703,Alappuzha
781394651267,Kabir,Dewan,1950-04-27,M,601-8095-630,Malappuram
417474331868,Jivika,Wadhwa,1996-12-21,M,950-2151-480,Thiruvananthapuram
662905378215,Aaina,Vig,1956-10-22,F,661-1891-650,Kannur
442851339272,Tushar,Gulati,1976-04-08,M,814-7549-299,Idukki
429799684046,Shamik,Shukla,1994-05-22,F,635-2171-603,Thrissur
607934697064,Shalv,Apte,1986-04-13,F,718-5801-113,Kasaragod
225417056882,Kaira,Kanda,1972-06-03,M,786-0987-576,Palakkad
483728229953,Shaan,Karnik,1957-06-22,M,883-3025-448,Kollam
213257281338,Anya,Randhawa,1966-04-09,F,841-7370-662,Thrissur
717677463459,Anvi,Kuruvilla,1983-11-28,F,976-5179-606,Kasaragod
258742576697,Zeeshan,Toor,1955-04-02,M,701-2282-297,Pathanamthitta
420413292377,Kiara,Rastogi,1999-05-26,F,606-1567-738,Pathanamthitta
938332280456,Vardaniya,Srinivasan,1993-10-12,F,816-9252-341,Ernakulam
208490694327,Yasmin,Viswanathan,1968-11-12,M,961-0962-519,Kozhikode
959935075321,Aarna,Bedi,1971-10-29,M,666-3619-614,Wayanad
813907096728,Shray,Baral,1994-01-29,F,818-2535-860,Idukki
550270646502,Darshit,Bhatnagar,1959-12-03,M,941-9755-364,Malappuram
444118982406,Suhana,Varma,1989-06-20,F,703-6510-570,Palakkad
875656291189,Divit,Apte,1960-06-11,F,999-7810-001,Kannur
792124883854,Uthkarsh,Kothari,1995-02-16,M,712-7352-206,Ernakulam
744561245413,Tanya,Joshi,1996-02-12,F,736-0383-633,Wayanad
930598495461,Romil,Savant,1966-11-22,M,721-4471-321,Kollam
577113397585,Zain,Cheema,1979-08-18,F,901-3885-440,Idukki
533897314008,Chirag,Gola,1983-07-05,F,776-4221-968,Kottayam
887085558888,Azad,Rajagopalan,1950-08-29,M,722-0780-097,Malappuram
576751842155,Adah,Agrawal,1968-06-07,M,975-5632-364,Kasaragod
970641283338,Manjari,Kadakia,1956-02-16,M,975-5941-735,Malappuram
405300016900,Zoya,Kumer,1971-12-03,F,751-8845-026,Palakkad
357466094978,Pihu,Bir,1957-01-05,F,799-7064-119,Kollam
916965706435,Mishti,Bir,1951-10-01,F,779-3418-236,Malappuram
620077130564,Indranil,Mandal,1995-01-30,F,968-2456-532,Pathanamthitta
907315625721,Nitara,Chandra,1985-01-30,M,811-0775-775,Ernakulam
450226413882,Armaan,Shah,1981-06-02,F,673-0013-788,Kottayam
942812534795,Manikya,Lala,2000-11-22,F,803-2414-030,Kollam
980961508347,Ahana ,Guha,1968-04-09,M,834-5773-876,Ernakulam
655771006205,Neysa,Bobal,1968-10-07,F,676-2557-354,Pathanamthitta
351583054107,Indrans,Tandon,1972-01-22,M,804-1066-994,Idukki
551225666905,Kavya,Bumb,1999-11-03,F,826-0354-085,Pathanamthitta
914293592882,Lavanya,Sehgal,1955-06-04,M,756-6611-406,Malappuram
491893072922,Pari,Mannan,1983-05-13,M,767-5095-078,Kollam
306486172835,Ira,Mander,1992-10-10,M,668-9909-310,Ernakulam
372913178480,Kashvi,Yadav,1975-01-06,F,633-0719-746,Kollam
491266803839,Tejas,Gokhale,1975-03-21,M,879-4094-448,Kottayam
117078890407,Advik,Ravel,1981-11-28,F,691-1779-216,Palakkad
598113123633,Bhavin,Bir,1990-05-21,M,640-4855-997,Malappuram
262496061777,Nayantara,Sidhu,1955-04-14,M,677-7859-656,Thrissur
550928434190,Ishita,Cherian,1957-10-17,M,736-8661-588,Malappuram
162491165742,Jayant,Date,1971-05-21,F,858-7236-427,Kozhikode
937479721308,Riaan,Sami,1995-09-16,M,629-2327-891,Malappuram
880933421545,Rasha,Majumdar,1960-09-15,F,931-7874-193,Malappuram
211050622714,Ela,Hari,1970-04-19,M,816-6219-087,Alappuzha
960877378486,Khushi,Singhal,1963-09-13,F,880-3457-932,Kasaragod
413601840354,Vivaan,Krishnan,1953-04-10,M,879-0131-257,Malappuram
160333903725,Trisha,Basak,1967-01-19,F,944-6045-230,Ernakulam
924918279094,Dharmajan,Kala,1982-05-05,F,786-5382-388,Kannur
684304915301,Rania,Varkey,1960-09-12,M,719-1661-519,Kasaragod
123040118898,Akarsh,Jain,1957-03-04,F,888-5822-177,Kottayam
532805567293,Urvi,Choudhary,1972-06-04,M,811-6013-460,Thrissur
